2026-09-13 23:52:33,842 INFO research.external_ocr_models: пропущено готовых: 0
2026-09-13 23:52:33,842 INFO research.external_ocr_models: gemini-31-flash-lite (google/gemini-3.1-flash-lite): 97 полос, 4 потоков, strips=1, max_side=2200
2026-09-13 23:54:48,280 INFO research.external_ocr_models: 84/97 IMG_0147_1L.jpg: ok, 2293 tok → 1019 tok, $0.00210175, 5 с
2026-09-13 23:54:48,621 INFO research.external_ocr_models: 85/97 IMG_0146_2R.jpg: ok, 2293 tok → 1179 tok, $0.00234175, 6 с
2026-09-13 23:54:50,347 INFO research.external_ocr_models: 86/97 IMG_0147_2R.jpg: ok, 2293 tok → 1276 tok, $0.00248725, 6 с
2026-09-13 23:54:53,863 INFO research.external_ocr_models: 87/97 IMG_0148_2R.jpg: ok, 2293 tok → 1151 tok, $0.00229975, 5 с
2026-09-13 23:54:53,898 INFO research.external_ocr_models: 88/97 IMG_0148_1L.jpg: ok, 2293 tok → 1260 tok, $0.00246325, 6 с
2026-09-13 23:54:54,971 INFO research.external_ocr_models: 89/97 IMG_0149_1L.jpg: ok, 2293 tok → 1340 tok, $0.00258325, 6 с
2026-09-13 23:54:56,485 INFO research.external_ocr_models: 90/97 IMG_0149_2R.jpg: ok, 2293 tok → 1309 tok, $0.00253675, 6 с
2026-09-13 23:54:59,476 INFO research.external_ocr_models: 91/97 IMG_0150_1L.jpg: ok, 2293 tok → 1156 tok, $0.00230725, 5 с
2026-09-13 23:55:00,218 INFO research.external_ocr_models: 92/97 IMG_0150_2R.jpg: ok, 2293 tok → 1073 tok, $0.00218275, 6 с
2026-09-13 23:55:00,946 INFO research.external_ocr_models: 93/97 IMG_0151_1L.jpg: ok, 2293 tok → 1209 tok, $0.00238675, 6 с
2026-09-13 23:55:02,136 INFO research.external_ocr_models: 94/97 IMG_0151_2R.jpg: ok, 2293 tok → 1191 tok, $0.00235975, 5 с
2026-09-13 23:55:03,515 INFO research.external_ocr_models: 95/97 IMG_0152_1L.jpg: ok, 2293 tok → 601 tok, $0.00147475, 4 с
2026-09-13 23:55:06,456 INFO research.external_ocr_models: 96/97 IMG_0153_1L.jpg: ok, 2293 tok → 1060 tok, $0.00216325, 5 с
2026-09-13 23:55:06,496 INFO research.external_ocr_models: 97/97 IMG_0152_2R.jpg: ok, 2293 tok → 1377 tok, $0.00263875, 6 с
2026-09-13 23:55:06,497 INFO research.external_ocr_models: прогон занял 153 с
2026-09-13 23:55:06,509 INFO research.external_ocr_models: готово: 97 полос, сбоев 1, стоимость $0.2404 (0.248 ¢/полоса), сводка /mnt/SYSTEM/raw/mts/pack1_external_ocr/gemini-31-flash-lite/1966/03/summary.csv
2026-09-14 00:07:45,904 INFO research.external_ocr_models: пропущено готовых: 96
2026-09-14 00:07:45,904 INFO research.external_ocr_models: gemini-31-flash-lite (google/gemini-3.1-flash-lite): 1 полос, 4 потоков, strips=1, max_side=2200
2026-09-14 00:07:51,984 INFO research.external_ocr_models: 1/1 IMG_0116_1L.jpg: ok, 2293 tok → 1384 tok, $0.00264925, 6 с
2026-09-14 00:07:51,984 INFO research.external_ocr_models: прогон занял 6 с
2026-09-14 00:07:51,993 INFO research.external_ocr_models: готово: 1 полос, сбоев 0, стоимость $0.0026 (0.265 ¢/полоса), сводка /mnt/SYSTEM/raw/mts/pack1_external_ocr/gemini-31-flash-lite/1966/03/summary.csv
