issue,index,n_rows,n_cols,page_number,match_score,match_margin,match_source,scan_rel_path
1967_09,0,9,4,43,1.0,0.782,cells,1967/09/IMG_0125_1L.jpg
1967_09,1,9,3,51,1.0,0.684,cells,1967/09/IMG_0130_1L.jpg
1967_09,2,9,3,52,1.0,0.77,cells,1967/09/IMG_0130_2R.jpg
1967_09,3,3,3,54,1.0,0.842,cells,1967/09/IMG_0131_2R.jpg
1967_09,4,11,6,56,0.944,0.722,cells,1967/09/IMG_0132_2R.jpg
1967_09,5,11,2,86,1.0,1.0,cells,1967/09/IMG_0147_2R.jpg
1967_09,6,13,5,94,0.919,0.759,cells,1967/09/IMG_0151_2R.jpg
1967_10,0,3,7,35,1.0,0.648,cells,1967/10/IMG_0021_2R.jpg
1967_10,1,6,7,36,0.885,0.692,cells,1967/10/IMG_0022_1L.jpg
1967_10,2,3,5,55,1.0,0.795,cells,1967/10/IMG_0031_2R.jpg
1967_10,3,15,5,56,1.0,0.877,cells,1967/10/IMG_0032_1L.jpg
1967_10,4,3,5,58,1.0,0.4,cells,1967/10/IMG_0033_1L.jpg
1967_10,5,1,3,74,1.0,0.643,context,1967/10/IMG_0041.jpg
1967_10,6,2,3,74,1.0,1.0,context,1967/10/IMG_0041.jpg
1967_10,7,3,2,74,1.0,1.0,context,1967/10/IMG_0041.jpg
1967_10,8,9,4,74,1.0,0.909,cells,1967/10/IMG_0041.jpg
1967_10,9,3,5,74,1.0,0.723,context,1967/10/IMG_0041.jpg
1967_11,0,13,9,34,0.891,0.739,cells,1967/11/IMG_0069_1L.jpg
1967_11,1,3,6,35,0.971,0.765,cells,1967/11/IMG_0069_2R.jpg
1967_11,2,9,3,36,0.867,0.7,cells,1967/11/IMG_0070_1L.jpg
1967_11,3,8,6,37,0.977,0.86,cells,1967/11/IMG_0070_2R.jpg
1967_11,4,4,6,57,1.0,0.621,cells,1967/11/IMG_0080_2R.jpg
1967_11,5,3,6,57,1.0,0.667,cells,1967/11/IMG_0080_2R.jpg
1967_11,6,4,9,58,0.94,0.68,cells,1967/11/IMG_0081_1L.jpg
1967_11,7,2,3,73,0.8,0.333,cells,1967/11/IMG_0088_2R.jpg
1967_11,8,3,3,73,1.0,0.385,cells,1967/11/IMG_0088_2R.jpg
1967_11,9,8,4,90,1.0,0.801,cells,1967/11/IMG_0097_1L.jpg
1967_12,0,6,7,14,0.933,0.668,cells,1967/12/IMG_0109_1L.jpg
1967_12,1,4,12,45,0.955,0.724,context,1967/12/IMG_0124_2R.jpg
1967_12,2,2,2,57,1.0,0.715,cells,1967/12/IMG_0130_2R.jpg
1967_12,3,2,3,59,0.947,0.289,cells,1967/12/IMG_0131_2R.jpg
1967_12,4,5,2,60,1.0,0.787,cells,1967/12/IMG_0132_1L.jpg
1967_12,5,2,2,61,1.0,0.547,cells,1967/12/IMG_0132_2R.jpg
1967_12,6,42,3,89,0.972,0.736,cells,1967/12/IMG_0146_2R.jpg
1967_12,7,22,2,90,1.0,0.572,context,1967/12/IMG_0147_1L.jpg
1967_12,8,31,2,94,1.0,0.2,context,1967/12/IMG_0149_1L.jpg
1967_12,9,6,2,0,0.0,0.0,none,
1968_01,0,8,7,31,1.0,0.883,cells,1968/01/IMG_0020_1L.jpg
1968_01,1,4,11,75,0.923,0.692,cells,1968/01/IMG_0042_1L.jpg
1968_02,0,3,3,7,1.0,0.825,cells,1968/02/IMG_0059_1L.jpg
1968_02,1,5,9,16,0.938,0.751,cells,1968/02/IMG_0063_2R.jpg
1968_02,2,2,5,26,0.77,0.377,context,1968/02/IMG_0068_2R.jpg
1968_02,3,2,5,27,0.923,0.681,context,1968/02/IMG_0069_1L.jpg
1968_02,4,2,5,29,0.758,0.323,context,1968/02/IMG_0070_1L.jpg
1968_02,5,3,8,67,0.981,0.751,context,1968/02/IMG_0089_1L.jpg
1968_02,6,3,8,67,0.947,0.526,context,1968/02/IMG_0089_1L.jpg
1968_02,7,7,4,76,0.933,0.8,cells,1968/02/IMG_0093_2R.jpg
1968_02,8,8,4,86,1.0,0.829,cells,1968/02/IMG_0098_2R.jpg
1968_02,9,8,3,87,1.0,0.562,cells,1968/02/IMG_0099_1L.jpg
1968_02,10,3,4,88,1.0,0.91,cells,1968/02/IMG_0099_2R.jpg
1968_02,11,9,3,88,1.0,0.667,cells,1968/02/IMG_0099_2R.jpg
1968_03,0,10,3,6,0.919,0.569,cells,1968/03/IMG_0107_1L.jpg
1968_03,1,2,5,12,1.0,0.75,cells,1968/03/IMG_0110_1L.jpg
1968_03,2,5,3,15,0.875,0.583,cells,1968/03/IMG_0111_2R.jpg
1968_03,3,14,33,22,1.0,0.8,cells,1968/03/IMG_0115_1L.jpg
1968_03,4,5,15,31,0.909,0.546,cells,1968/03/IMG_0119_2R.jpg
